ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
4701,Carré Marie-Guérin,Québec,Beauport,125996,46.91525049630033,-71.20463114175146
6954,Rue Fabienne,Québec,Charlesbourg,123586,46.88125343868923,-71.23913537573141
7613,Rue Francine,Québec,Beauport,127849,46.88495482536705,-71.20503131649684
8988,Rue des Cornalines,Québec,Charlesbourg,138673,46.88572229931968,-71.26165019949791
5801,Rue de la Fraternité,Québec,Beauport,128412,46.89257931478723,-71.16514018356449
14151,Rue Jean-XXIII,Québec,Beauport,128214,46.89107944213946,-71.17004662480558
12005,Rue des Chrysolithes,Québec,Charlesbourg,141187,46.88545314573678,-71.26079419563038
8722,Rue du Dauphin,Québec,Charlesbourg,124720,46.889143043255416,-71.26333540363557
7191,Avenue de l'Abbé-Beauchemin,Québec,Beauport,126796,46.85554735074272,-71.23519814604246
6270,Rue Melville,Québec,Beauport,128822,46.87263006909021,-71.18499663311822
103136,Rue Claire-Bonenfant,Québec,Les Rivières,,46.84049406891487,-71.31451310122596
11008,Boulevard Wilfrid-Hamel,Québec,Les Rivières,106020,46.80618801830562,-71.30886175203696
47458,Rue de Boston,Québec,Les Rivières,201708,46.83799112056387,-71.33540479959731
165628,Chemin Sainte-Foy,Québec,La Cité-Limoilou,,46.79626368799258,-71.25083974138981
164250,Rue Sainte-Claire,Québec,La Cité-Limoilou,,46.81157345092055,-71.22264106711194
166405,Rue Jean-François-Drouin,Québec,Beauport,,46.87101453281262,-71.21063567763035
2383,Avenue Wilfrid-Laurier,Québec,La Cité-Limoilou,102351,46.80693747517753,-71.21373352996531
15016,Rue Le Page,Québec,Les Rivières,103892,46.84533737244058,-71.30572475334749
14715,Avenue du Bourg-Royal,Québec,Charlesbourg,124812,46.886399945407526,-71.25259260800905
523,Rue du Roi,Québec,La Cité-Limoilou,104513,46.81409038362171,-71.22750918545044
10391,Rue de Bastogne,Québec,Les Rivières,140648,46.83652894291771,-71.32585002534668
4759,Rue de l'Alaska,Québec,Beauport,126183,46.90408342223777,-71.20813621120655
787,Rue de la Bastille,Québec,La Cité-Limoilou,102894,46.828441539429036,-71.24248344252915
6501,Rue Drouard,Québec,Beauport,127461,46.89152606066245,-71.21492429742142
8725,Rue Beaumanoir,Québec,Charlesbourg,124769,46.89009618916561,-71.26898119536857
6913,Rue Maurice-Déry,Québec,Charlesbourg,123702,46.87609477115277,-71.2391573811417
17997,Boulevard Neilson,Québec,Sainte-Foy–Sillery–Cap-Rouge,144727,46.75398946284611,-71.31738547100427
734,Rue des Commissaires Est,Québec,La Cité-Limoilou,101628,46.81626643129587,-71.22509368895595
40,,Québec,La Cité-Limoilou,,46.82609139360613,-71.24787463485447
521,Rue du Roi,Québec,La Cité-Limoilou,104512,46.81326215600736,-71.23008773369439
59926,Rue Philippe-Méthé,Québec,Sainte-Foy–Sillery–Cap-Rouge,119928,46.773312317522695,-71.30663598170692
19167,Rue Lalonde,Québec,Sainte-Foy–Sillery–Cap-Rouge,118049,46.76924528560837,-71.2717006230313
14308,Avenue Lapierre,Québec,La Haute-Saint-Charles,115585,46.87064017677669,-71.33763832697731
8849,Rue de la Faune,Québec,La Haute-Saint-Charles,133066,46.875913422803904,-71.32605117425221
9133,Rue Gaëtane-De Montreuil,Québec,La Haute-Saint-Charles,115373,46.84493558966842,-71.3632981980219
